,Rack_Depth##LENGTH##MILLIMETERS,Rack_Width##LENGTH##MILLIMETERS,U_Count##OTHER##,Rack_Height_Manual##LENGTH##MILLIMETERS,Height_Auto##OTHER##,Rail_Front_Setback##LENGTH##MILLIMETERS,Show_Rear_Rails##OTHER##,Fan_Count##OTHER##,Product_ID##OTHER##,Product_Type##OTHER##,Static_Load_kg##OTHER##
WIR7010S - 10U D700,700,600,10,545,1,50,0,1,WIR7010S,Single Door Wallmount Rack,60
19in Wallmount - 6U D400,400,600,6,367.2,1,50,0,1,WIR4006S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 9U D400,400,600,9,500.55,1,50,0,1,WIR4009S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 6U D500,500,600,6,367.2,1,50,0,1,WIR5006S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 9U D500,500,600,9,500.55,1,50,0,1,WIR5009S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 12U D500,500,600,12,633.9,1,50,0,1,WIR5012S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 6U D600,600,600,6,367.2,1,50,0,1,WIR6006S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 9U D600,600,600,9,500.55,1,50,0,1,WIR6009S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 12U D600,600,600,12,633.9,1,50,0,1,WIR6012S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 15U D600,600,600,15,767.25,1,50,0,1,WIR6015S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 12U D700,700,600,12,633.9,1,50,1,1,WIR7012S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 15U D700,700,600,15,767.25,1,50,1,1,WIR7015S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 18U D700,700,600,18,900.6,1,50,1,2,WIR7018S (cek katalog),Single Door Wallmount Rack,60
19in Wallmount - 20U D700,700,600,20,989.5,1,50,1,2,WIR7020S (cek katalog),Single Door Wallmount Rack,60
